iso3_code,country,region,subregion,indicator,dimension,category,sex,age,year,unit_of_measurement,value_raw,value_flag,value,source
AUS,Australia,Oceania,Australia and New Zealand,Persons convicted,Total,Total,Total,Total,2003,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Persons convicted,Total,Total,Total,Total,2004,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,by form of exploitation,Sexual exploitation,Total,Total,2005,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Persons convicted,Total,Total,Total,Total,2005,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,by form of exploitation,Sexual exploitation,Total,Total,2006,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Persons convicted,Total,Total,Total,Total,2006,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,Total,Total,Female,0 to 17 years,2007,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,Total,Total,Female,18 years or over,2007,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,Total,Total,Male,0 to 17 years,2007,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,Total,Total,Male,18 years or over,2007,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,Total,Total,Total,0 to 17 years,2007,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,Total,Total,Total,18 years or over,2007,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,Total,Total,Total,Total,2007,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,by citizenship,Republic of Korea,Total,Total,2007,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,by citizenship,Thailand,Total,Total,2007,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,by form of exploitation,Forced labour,Total,Total,2007,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,by form of exploitation,Sexual exploitation,Total,Total,2007,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Persons convicted,Total,Total,Total,Total,2007,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Persons prosecuted,Total,Total,Total,Total,2007,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,Total,Total,Female,0 to 17 years,2008,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,Total,Total,Female,18 years or over,2008,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,Total,Total,Male,0 to 17 years,2008,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,Total,Total,Male,18 years or over,2008,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,Total,Total,Total,0 to 17 years,2008,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,Total,Total,Total,18 years or over,2008,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,Total,Total,Total,Total,2008,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,by citizenship,Republic of Korea,Total,Total,2008,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,by citizenship,Thailand,Total,Total,2008,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,by form of exploitation,Sexual exploitation,Total,Total,2008,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Persons convicted,Total,Total,Total,Total,2008,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Persons convicted,by form of exploitation,Forced labour,Total,Total,2008,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Persons convicted,by form of exploitation,Sexual exploitation,Total,Total,2008,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Persons prosecuted,Total,Total,Total,Total,2008,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,Total,Total,Female,0 to 17 years,2009,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,Total,Total,Female,18 years or over,2009,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,Total,Total,Male,0 to 17 years,2009,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,Total,Total,Male,18 years or over,2009,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,Total,Total,Total,0 to 17 years,2009,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,Total,Total,Total,18 years or over,2009,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,Total,Total,Total,Total,2009,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,by citizenship,Malaysia,Total,Total,2009,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,by form of exploitation,Sexual exploitation,Total,Total,2009,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Persons convicted,Total,Total,Total,Total,2009,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Persons prosecuted,Total,Total,Total,Total,2009,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,Total,Total,Female,0 to 17 years,2010,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,Total,Total,Female,18 years or over,2010,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,Total,Total,Male,0 to 17 years,2010,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,Total,Total,Male,18 years or over,2010,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,Total,Total,Total,0 to 17 years,2010,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,Total,Total,Total,18 years or over,2010,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,Total,Total,Total,Total,2010,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,by citizenship,Malaysia,Total,Total,2010,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,by citizenship,Philippines,Total,Total,2010,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,by form of exploitation,Forced labour,Total,Total,2010,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,by form of exploitation,Sexual exploitation,Total,Total,2010,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Persons convicted,Total,Total,Total,Total,2010,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Persons convicted,by form of exploitation,Forced labour,Total,Total,2010,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Persons convicted,by form of exploitation,Sexual exploitation,Total,Total,2010,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Persons prosecuted,Total,Total,Total,Total,2010,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,Total,Total,Female,0 to 17 years,2011,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,Total,Total,Female,18 years or over,2011,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,Total,Total,Male,0 to 17 years,2011,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,Total,Total,Male,18 years or over,2011,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,Total,Total,Total,0 to 17 years,2011,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,Total,Total,Total,18 years or over,2011,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,Total,Total,Total,Total,2011,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,by form of exploitation,Forced labour,Total,Total,2011,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,by form of exploitation,Sexual exploitation,Total,Total,2011,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Persons convicted,Total,Total,Total,Total,2011,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Persons prosecuted,Total,Total,Total,Total,2011,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,Total,Total,Female,0 to 17 years,2012,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,Total,Total,Female,18 years or over,2012,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,Total,Total,Male,0 to 17 years,2012,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,Total,Total,Male,18 years or over,2012,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,Total,Total,Total,0 to 17 years,2012,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,Total,Total,Total,18 years or over,2012,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,Total,Total,Total,Total,2012,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,by form of exploitation,Forced labour,Total,Total,2012,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,by form of exploitation,Sexual exploitation,Total,Total,2012,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Persons convicted,Total,Total,Total,Total,2012,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Persons convicted,by form of exploitation,Sexual exploitation,Total,Total,2012,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Persons prosecuted,Total,Total,Total,Total,2012,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,Total,Total,Female,18 years or over,2013,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,Total,Total,Male,18 years or over,2013,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,Total,Total,Total,0 to 17 years,2013,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,Total,Total,Total,18 years or over,2013,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,Total,Total,Total,Total,2013,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,by citizenship,Republic of Korea,Total,Total,2013,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,by form of exploitation,Forced labour,Total,Total,2013,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,by form of exploitation,Sexual exploitation,Total,Total,2013,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Persons convicted,Total,Total,Total,Total,2013,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Persons convicted,by form of exploitation,Forced labour,Total,Total,2013,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Persons convicted,by form of exploitation,Sexual exploitation,Total,Total,2013,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Persons prosecuted,Total,Total,Total,Total,2013,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,Total,Total,Female,0 to 17 years,2014,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,Total,Total,Female,18 years or over,2014,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,Total,Total,Male,0 to 17 years,2014,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,Total,Total,Male,18 years or over,2014,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,Total,Total,Total,0 to 17 years,2014,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,Total,Total,Total,18 years or over,2014,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,Total,Total,Total,Total,2014,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,by citizenship,Australia,Total,Total,2014,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,by citizenship,Thailand,Total,Total,2014,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,by citizenship,Unknown,Total,Total,2014,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,by country of repatriation,Colombia,Total,Total,2014,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,by form of exploitation,Forced labour,Total,Total,2014,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,by form of exploitation,Sexual exploitation,Total,Total,2014,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Persons convicted,Total,Total,Total,Total,2014,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Persons prosecuted,Total,Total,Total,Total,2014,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,Total,Total,Female,0 to 17 years,2015,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,Total,Total,Female,18 years or over,2015,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,Total,Total,Male,0 to 17 years,2015,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,Total,Total,Male,18 years or over,2015,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,Total,Total,Total,0 to 17 years,2015,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,Total,Total,Total,18 years or over,2015,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,Total,Total,Total,Total,2015,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,by citizenship,Australia,Total,Total,2015,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,by citizenship,India,Total,Total,2015,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,by form of exploitation,Forced labour,Total,Total,2015,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,by form of exploitation,Sexual exploitation,Total,Total,2015,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Persons convicted,Total,Total,Total,Total,2015,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Persons prosecuted,Total,Total,Total,Total,2015,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,Total,Total,Female,0 to 17 years,2016,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,Total,Total,Female,18 years or over,2016,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,Total,Total,Male,0 to 17 years,2016,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,Total,Total,Male,18 years or over,2016,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,Total,Total,Total,0 to 17 years,2016,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,Total,Total,Total,18 years or over,2016,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,Total,Total,Total,Total,2016,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,by citizenship,Afghanistan,Total,Total,2016,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,by citizenship,Australia,Total,Total,2016,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,by citizenship,Unknown,Total,Total,2016,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,by country of repatriation,Belarus,Total,Total,2016,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,by country of repatriation,Colombia,Total,Total,2016,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,by form of exploitation,Forced labour,Total,Total,2016,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Persons convicted,Total,Total,Total,Total,2016,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Persons convicted,by form of exploitation,Forced labour,Total,Total,2016,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Persons convicted,by form of exploitation,Sexual exploitation,Total,Total,2016,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Persons prosecuted,Total,Total,Total,Total,2016,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,Total,Total,Female,0 to 17 years,2017,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,Total,Total,Female,18 years or over,2017,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,Total,Total,Male,0 to 17 years,2017,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,Total,Total,Male,18 years or over,2017,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,Total,Total,Total,0 to 17 years,2017,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,Total,Total,Total,18 years or over,2017,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,Total,Total,Total,Total,2017,Unit of measurement,txtVALUE,,0.0,GLOTIP
AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,by form of exploitation,Forced labour,Female,0 to 17 years,2017,Unit of measurement,txtVALUE,,0.0,GLOTIP
